display,name_kr,name_en,ticker,type,enabled,aliases
신흥에스이씨,신흥에스이씨,,243840.KQ,company,1,
LS,LS,,006260.KS,company,1,
KH바텍,KH바텍,,060720.KQ,company,1,
천보,천보,,278280.KQ,company,1,
경남스틸,경남스틸,,039240.KQ,company,1,
한국화장품제조,한국화장품제조,,003350.KS,company,1,
미래에셋벤처투자,미래에셋벤처투자,,100790.KQ,company,1,
우원개발,우원개발,,046940.KQ,company,1,
대상홀딩스,대상홀딩스,,084690.KS,company,1,
이글벳,이글벳,,044960.KQ,company,1,
케이피티유,케이피티유,,054410.KQ,company,1,
아이윈,아이윈,,090150.KQ,company,1,
코람코더원리츠,코람코더원리츠,,417310.KS,company,1,
씨유테크,씨유테크,,376290.KQ,company,1,
큐라클,큐라클,,365270.KQ,company,1,
예선테크,예선테크,,250930.KQ,company,1,
원티드랩,원티드랩,,376980.KQ,company,1,
제이엠티,제이엠티,,094970.KQ,company,1,
큐캐피탈,큐캐피탈,,016600.KQ,company,1,
웹젠,웹젠,,069080.KQ,company,1,
시노펙스,시노펙스,,025320.KQ,company,1,
비스토스,비스토스,,419540.KQ,company,1,
티쓰리,티쓰리,,204610.KQ,company,1,
성도이엔지,성도이엔지,,037350.KQ,company,1,
에스티아이,에스티아이,,039440.KQ,company,1,
카카오페이,카카오페이,,377300.KS,company,1,
하이트진로,하이트진로,,000080.KS,company,1,
자비스,자비스,,254120.KQ,company,1,
케이엠제약,케이엠제약,,225430.KQ,company,1,
대구백화점,대구백화점,,006370.KS,company,1,
알에스오토메이션,알에스오토메이션,,140670.KQ,company,1,
현대에이치티,현대에이치티,,039010.KQ,company,1,
퍼스텍,퍼스텍,,010820.KS,company,1,
오픈베이스,오픈베이스,,049480.KQ,company,1,
송원산업,송원산업,,004430.KS,company,1,
멕아이씨에스,멕아이씨에스,,058110.KQ,company,1,
카카오뱅크,카카오뱅크,,323410.KS,company,1,
케이씨에스,케이씨에스,,115500.KQ,company,1,
삼화페인트공업,삼화페인트공업,,000390.KS,company,1,
삼일,삼일,,032280.KQ,company,1,
인포뱅크,인포뱅크,,039290.KQ,company,1,
빅솔론,빅솔론,,093190.KQ,company,1,
조비,조비,,001550.KS,company,1,
핌스,핌스,,347770.KQ,company,1,
